"","STABBR","RELAFFIL","TUITIONFEE_IN","WDRAW_ORIG_YR2_RT","LO_INC_WDRAW_ORIG_YR2_RT"
"405","CA","NULL","NULL","0.148148148148","0.158139534884"
"406","CA","NULL","NULL","0.179487179487","PrivacySuppressed"
"407","CA","30","34196","0.163101604278","0.213414634146"
"408","CA","NULL","52838","0.0625","PrivacySuppressed"
"409","CA","NULL","1162","0.429203539823","0.444444444444"
"410","CA","NULL","1186","0.392779333956","0.406962785114"
"411","CA","NULL","45620","0.110619469027","PrivacySuppressed"
"412","CA","NULL","1388","0.435348125478","0.458382180539"
"413","CA","48","31800","0.303333333333","0.321100917431"
"414","CA","NULL","NULL","0.113821138211","PrivacySuppressed"
"415","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"416","CA","NULL","NULL","0.143911439114","PrivacySuppressed"
"417","CA","78","NULL","PrivacySuppressed","PrivacySuppressed"
"418","CA","NULL","16005","PrivacySuppressed","PrivacySuppressed"
"419","CA","95","29469","0.142201834862","0.143835616438"
"420","CA","NULL","46346","0.071428571429","0.09126984127"
"421","CA","NULL","1288","0.638888888889","0.618055555556"
"422","CA","NULL","1338","0.47108271688","0.482279693487"
"423","CA","NULL","1348","0.383004189108","0.394867766431"
"424","CA","74","51992","0.06746031746","0.09243697479"
"425","CA","NULL","52236","0.084745762712","PrivacySuppressed"
"426","CA","NULL","17235","0.224719101124","PrivacySuppressed"
"427","CA","59","34600","0.062404870624","0.094736842105"
"428","CA","NULL","51075","PrivacySuppressed","PrivacySuppressed"
"429","CA","NULL","1322","0.548902195609","0.567065073041"
"430","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"431","CA","NULL","1142","0.494101633394","0.511749347258"
"432","CA","NULL","NULL","NULL","NULL"
"433","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"434","CA","NULL","48072","0.117149758454","0.131221719457"
"435","CA","NULL","1182","0.506255212677","0.534557235421"
"436","CA","NULL","NULL","0.161764705882","PrivacySuppressed"
"437","CA","NULL","NULL","0.138075313808","PrivacySuppressed"
"438","CA","NULL","1360","0.445845697329","0.450400801603"
"439","CA","NULL","1420","0.469163489572","0.483259633607"
"440","CA","NULL","13438","0.530033637674","0.56156933834"
"441","CA","NULL","NULL","0.089686098655","PrivacySuppressed"
"442","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"443","CA","NULL","1104","0.441257584115","0.459889349931"
"444","CA","NULL","1328","0.409528907923","0.420268256334"
"445","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"446","CA","NULL","1142","0.39683586025","0.413382594417"
"447","CA","NULL","NULL","0.409954099541","0.431318094424"
"448","CA","NULL","1142","0.344603825137","0.343882853094"
"449","CA","NULL","1142","0.317884729649","0.328225806452"
"450","CA","NULL","7460","0.073597056118","0.085131894484"
"451","CA","30","47708","0.05495818399","0.054794520548"
"452","CA","NULL","44778","0.222222222222","0.230769230769"
"453","CA","NULL","44810","PrivacySuppressed","PrivacySuppressed"
"454","CA","NULL","7254","0.114018691589","0.130858760617"
"455","CA","66","NULL","PrivacySuppressed","PrivacySuppressed"
"456","CA","30","46250","0.054738562092","0.079487179487"
"457","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"458","CA","NULL","1104","0.514518317503","0.527945619335"
"459","CA","NULL","NULL","0.198648648649","0.21940463065"
"460","CA","79","30550","0.1375","0.1640625"
"461","CA","NULL","1356","0.451448040886","0.459403905447"
"462","CA","NULL","7721","0.109164420485","0.121636564689"
"463","CA","NULL","1400","0.309604519774","0.313725490196"
"464","CA","NULL","10000","0.253571428571","0.253807106599"
"465","CA","NULL","10000","0.234693877551","PrivacySuppressed"
"466","CA","NULL","1374","0.367624810893","0.384191176471"
"467","CA","30","49858","0.031695721078","PrivacySuppressed"
"468","CA","NULL","1142","0.391888913379","0.410002907822"
"469","CA","NULL","1282","0.444029850746","0.478036175711"
"470","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"471","CA","NULL","52966","PrivacySuppressed","PrivacySuppressed"
"472","CA","NULL","1390","0.520789288231","0.546550892426"
"473","CA","54","12060","PrivacySuppressed","PrivacySuppressed"
"474","CA","NULL","1185","0.615336658354","0.642857142857"
"475","CA","NULL","1142","0.488860598345","0.490350877193"
"476","CA","NULL","NULL","0.223684210526","PrivacySuppressed"
"477","CA","79","NULL","0.272058823529","0.310344827586"
"478","CA","34","27700","0.111662531017","0.121546961326"
"479","CA","NULL","1154","0.422222222222","0.455197132616"
"480","CA","NULL","NULL","0.123674911661","PrivacySuppressed"
"481","CA","NULL","1447","0.374227714034","0.408239700375"
"482","CA","NULL","1238","0.483976992605","0.503719447396"
"483","CA","30","45686","0.077319587629","0.115384615385"
"484","CA","NULL","1140","0.511897498475","0.529795918367"
"485","CA","NULL","7724","0.098451327434","0.114685314685"
"486","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"487","CA","NULL","NULL","0.254901960784","PrivacySuppressed"
"488","CA","27","32430","0.126506024096","0.186868686869"
"489","CA","NULL","NULL","0.099099099099","0.11"
"490","CA","NULL","1338","0.464589235127","0.469942957437"
"491","CA","30","NULL","NULL","NULL"
"492","CA","93","NULL","PrivacySuppressed","PrivacySuppressed"
"493","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"494","CA","NULL","43800","PrivacySuppressed","PrivacySuppressed"
"495","CA","NULL","54259","0.053227158424","0.073229291717"
"496","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"497","CA","NULL","1410","0.408134642356","0.442424242424"
"498","CA","71","NULL","PrivacySuppressed","PrivacySuppressed"
"499","CA","30","24500","PrivacySuppressed","PrivacySuppressed"
"500","CA","27","9689","0.6","0.617021276596"
"501","CA","NULL","NULL","0.208532135841","0.226662073717"
"502","CA","NULL","NULL","0.086444007859","0.097421203438"
"503","CA","NULL","NULL","0.111587982833","PrivacySuppressed"
"504","CA","NULL","1388","0.424","0.443561208267"
"505","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"506","CA","NULL","1126","0.560231023102","0.576710435384"
"507","CA","NULL","1230","0.393581081081","0.408568443051"
"508","MN","NULL","12465","0.302973479775","0.389264990329"
"509","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"510","CA","NULL","1380","0.410909090909","0.430985915493"
"511","CA","NULL","1220","0.502481389578","0.50873015873"
"512","CA","NULL","1186","0.417721518987","0.442307692308"
